2024-09-14 00:12:00,830 - WARNING - Invalid date encountered: Year=1959, Month=8, Day=None
2024-09-14 00:12:00,830 - WARNING - Invalid date encountered: Year=1959, Month=9, Day=None
2024-09-14 00:12:00,831 - WARNING - Invalid date encountered: Year=1959, Month=8, Day=None
2024-09-14 00:12:00,831 - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 00:12:00,831 - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 00:12:00,831 - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 00:12:00,831 - WARNING - Invalid date encountered: Year=1959, Month=4, Day=None
2024-09-14 00:12:00,833 - WARNING - Invalid date encountered: Year=1960, Month=None, Day=None
2024-09-14 00:12:00,834 - WARNING - Invalid date encountered: Year=1960, Month=1, Day=None
2024-09-14 00:12:00,835 - WARNING - Invalid date encountered: Year=1961, Month=3, Day=None
2024-09-14 00:12:00,835 - WARNING - Invalid date encountered: Year=1961, Month=1, Day=None
2024-09-14 00:12:00,836 - WARNING - Invalid date encountered: Year=1961, Month=11, Day=None
2024-09-14 00:12:00,837 - WARNING - Invalid date encountered: Year=1961, Month=10, Day=None
2024-09-14 00:12:00,837 - WARNING - Invalid date encountered: Year=1961, Month=12, Day=None
2024-09-14 00:12:00,838 - WARNING - Invalid date encountered: Year=1962, Month=8, Day=None
2024-09-14 00:12:00,838 - WARNING - Invalid date encountered: Year=1962, Month=2, Day=None
2024-09-14 00:12:00,838 - WARNING - Invalid date encountered: Year=1962, Month=11, Day=None
2024-09-14 00:12:00,839 - WARNING - Invalid date encountered: Year=1962, Month=11, Day=None
2024-09-14 00:12:00,839 - WARNING - Invalid date encountered: Year=1963, Month=4, Day=None
2024-09-14 00:12:00,839 - WARNING - Invalid date encountered: Year=1963, Month=None, Day=None
2024-09-14 00:12:00,840 - WARNING - Invalid date encountered: Year=1963, Month=10, Day=None
2024-09-14 00:12:00,840 - WARNING - Invalid date encountered: Year=1963, Month=7, Day=None
2024-09-14 00:12:00,841 - WARNING - Invalid date encountered: Year=1963, Month=12, Day=None
2024-09-14 00:12:00,842 - WARNING - Invalid date encountered: Year=1963, Month=12, Day=None
2024-09-14 00:12:00,843 - WARNING - Invalid date encountered: Year=1963, Month=5, Day=None
2024-09-14 00:12:00,843 - WARNING - Invalid date encountered: Year=1963, Month=4, Day=None
2024-09-14 00:12:00,843 - WARNING - Invalid date encountered: Year=1964, Month=7, Day=None
2024-09-14 00:12:00,843 - WARNING - Invalid date encountered: Year=1964, Month=1, Day=None
2024-09-14 00:12:00,844 - WARNING - Invalid date encountered: Year=1964, Month=4, Day=None
2024-09-14 00:12:00,845 - WARNING - Invalid date encountered: Year=1964, Month=8, Day=None
2024-09-14 00:12:00,845 - WARNING - Invalid date encountered: Year=1964, Month=3, Day=None
