2024-09-14 21:52:45,944 - __main__ - INFO - Starting extraction process...
2024-09-14 21:52:46,093 - root - INFO - Connected to database successfully
2024-09-14 21:52:46,093 - extract - INFO - Extracted columns from CSV file C:\Users\Legion\Desktop\official_data\1900_2021_DISASTERS.csv successfully
2024-09-14 21:52:46,110 - extract - INFO - Created staging table staging_disasters successfully
2024-09-14 21:52:46,184 - extract - INFO - Data loaded into staging table staging_disasters successfully
2024-09-14 21:52:46,193 - __main__ - INFO - Extraction completed successfully.
2024-09-14 21:52:46,193 - __main__ - INFO - Starting transformation process...
2024-09-14 21:52:46,226 - transform - INFO - Connected to database successfully
2024-09-14 21:52:46,568 - transform - INFO - Data fetched successfully for query:  --sql
                SELECT * FROM staging_disasters 
                WHERE TO_CHAR(extraction_time, 'YYYYMMDD') = '20240914';
            
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=3, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=1, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1954, Month=2, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1955, Month=2, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1955, Month=4, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=7, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=3, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=3, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=8, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=None, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=12, Day=None
2024-09-14 21:52:46,651 - transform - WARNING - Invalid date encountered: Year=1956, Month=10, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1957, Month=12, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1957, Month=7, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1957, Month=10, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1958, Month=7, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1958, Month=5, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1958, Month=9, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1958, Month=6, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1958, Month=5, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=7, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=8, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=9, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=8, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=6, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1959, Month=4, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1960, Month=None, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1960, Month=1, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1961, Month=3, Day=None
2024-09-14 21:52:46,659 - transform - WARNING - Invalid date encountered: Year=1961, Month=1, Day=None
2024-09-14 21:52:46,667 - transform - WARNING - Invalid date encountered: Year=1961, Month=11, Day=None
2024-09-14 21:52:46,667 - transform - WARNING - Invalid date encountered: Year=1961, Month=10, Day=None
2024-09-14 21:52:46,667 - transform - WARNING - Invalid date encountered: Year=1961, Month=12, Day=None
